epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1409.31,1.74211,3.21393,1.89327,0.42776,0.16189,0.11549,0.0379,2.27912,4.74292,2.54306,0.000415658,0.000415658,0.000415658
2,3671.3,1.72252,2.79959,1.88718,0.17362,0.24455,0.14253,0.05677,2.20697,4.23488,2.28471,0.000815844,0.000815844,0.000815844
3,5133.52,1.7341,2.6293,1.9014,0.1854,0.24921,0.128,0.05033,2.30988,3.66917,2.45885,0.00119953,0.00119953,0.00119953
4,6365.2,1.71162,2.53346,1.87225,0.44218,0.29942,0.1829,0.08151,2.13679,3.55412,2.28455,0.00117575,0.00117575,0.00117575
5,7491.46,1.70352,2.44335,1.86948,0.45099,0.27574,0.19905,0.08961,2.10472,3.50084,2.2903,0.001151,0.001151,0.001151
6,8660.54,1.65502,2.33686,1.84642,0.46456,0.29442,0.23702,0.10997,2.10113,3.16919,2.30795,0.00112625,0.00112625,0.00112625
7,9901,1.62032,2.2511,1.80168,0.20304,0.30775,0.23706,0.12347,2.04562,3.09296,2.25862,0.0011015,0.0011015,0.0011015
8,11085.8,1.58147,2.17754,1.77005,0.23694,0.33247,0.27576,0.13725,2.02495,2.93569,2.15744,0.00107675,0.00107675,0.00107675
9,12511,1.58408,2.09383,1.75342,0.2873,0.37584,0.26637,0.1336,2.03167,2.94604,2.12364,0.001052,0.001052,0.001052
10,13593.8,1.55048,2.07386,1.73061,0.33227,0.36028,0.25782,0.12819,1.94643,2.83716,2.05314,0.00102725,0.00102725,0.00102725
